report_name,description
Activity Diarium - Detail,Daftar daily activity Diarium yang telah dibuat karyawan Telkom Group dalam range periode tahun berjalan
Activity Diarium - Status Hari ini,"Status pengisian Daily Activity tiap karyawan pada Hari ini, data diperbarui pukul 09, 12, 15, 18, dan 21 WIB"
Monitoring Presensi Realtime (Back to Office),"Monitoring Presensi Karyawan pada hari H, sesuai dengan Nota Dinas Elektronik DIREKTUR HUMAN CAPITAL MANAGEMENT perihal Back to Office pada tanggal 17 Oktober 2024."
Monitoring Presensi Historis (Back to Office),"Monitoring Presensi Diarium Karyawan periode waktu yang telah lalu (historis) untuk bulan terakhir, sesuai dengan Nota Dinas Elektronik DIREKTUR HUMAN CAPITAL MANAGEMENT perihal Back to Office tanggal 17 Oktober 2024. Data yang tersedia merupakan data raw, masih meliputi data hari Libur/Tanggal merah dan termasuk flag karyawan yang sedang menjalankan Cuti."
HR Current Karyawan Aktif Telkom Group,Laporan yang berisi daftar karyawan aktif (tetap dan sementara) pada bulan berjalan di Telkom Group
Dalformasi Telkom Parent,"Data struktur organisasi, formasi dan detail pemangku untuk lingkup Telkom Parent."
Monitoring Presensi Realtime (New FWA),"Monitoring Presensi Diarium Karyawan pada hari H beserta keterangan WFH,WFA dan relasinya dengan kebijakan FWA terbaru tahun 2023.Data akan diupdate setiap hari pada pukul 06:15, 07:15, 08:15, 09:15, 10:15, 11:15, 12:15, 14:15, 15:15, 18:15 WIB"
Activity Diarium - Status Hari ini HCBP,"Laporan Status pengisian daily activity diarium karyawan HCSO & HCSP per hari ini, data diperbarui pukul 09, 12, 15, dan 18 WIB"
Struktur Organisasi dan Formasi Telkom (OM),Struktur organisasi dan formasi Telkom Organization Management
Activity Diarium - Persentase Bulanan,"Data Rekap bulanan Persentase pengisan Daily Activity Q4 2022 - Q3 2023 tiap Unit, dihitung dari rata-rata persentase harian diluar tanggal merah dan hari libur"
Laporan Streamline Pendidikan,"Data Pendidikan untuk karyawan Telkom Parent Aktif, dengan status pendidikan DIAKUI"
Activity Diarium - Persentase Harian,Data Rekap persentase harian pengisian Daily Activity tiap Unit untuk tahun 2025
HR Current Karyawan Aktif Telkom Group dan BBP (HCSP),"Laporan yang berisi daftar karyawan aktif (tetap dan sementara) pada bulan berjalan di Telkom Group dan BBP karyawan, untuk kebutuhan HCSP."
Data Nomor Identitas (KTP) Karyawan & Keluarga,List nomor identitas karyawan & keluarga karyawan Telkom.
Monitoring Presensi Historis 2026 TW1 - Back to Office,"Monitoring Presensi Diarium Karyawan periode waktu yang telah lalu (historis) untuk Triwulan 1 (Q1) tahun 2026, sesuai dengan Nota Dinas Elektronik DIREKTUR HUMAN CAPITAL MANAGEMENT perihal Back to Office tanggal 17 Oktober 2024.&lt;br&gt;Data yang tersedia merupakan data raw, masih meliputi data hari Libur/Tanggal merah dan termasuk flag karyawan yang sedang menjalankan Cuti."
Laporan Streamline Job Function History Dinas,"Data dan monitor data quality terkait job function history dinas 10 tahun ke belakang, untuk monitor HCSM"
