ticket_id,report_name,classification,assignments_requestor,text_requestor,status
RGRT-628538,Struktur Organisasi dan Formasi Telkom (OM),Internal,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 3, ""domain_id"": ""mtbq3xiq30"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Corporate University""}, {""role_id"": 3, ""domain_id"": ""mtbq3xiq30"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Telkom Corporate University""}]",Operasional Unit,APPROVED
RGRT-880496,Monitoring Presensi Historis (Back to Office),Internal,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,APPROVED
RGRT-733275,Dalformasi Telkom Parent,Confidential,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,APPROVED
RGRT-790889,HR Current Karyawan Aktif Telkom Group,Very Confidential,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,APPROVED
RGRT-444357,Activity Diarium - Detail (Telin Group),Internal,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,APPROVED
REQ-258375,HR Current Karyawan Aktif Telkom Group,Very Confidential,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]","Permintaan Akses Data untuk keperluan bahan laporan,Terima kasih.",APPROVED
RGRT-030110,Activity Diarium - Detail,Internal,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,APPROVED
RGRT-313337,Activity Diarium - Persentase Harian,Internal,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,APPROVED
RGRT-712451,Activity Diarium - Persentase Bulanan,Internal,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,APPROVED
RGRT-955633,Activity Diarium - Status Hari ini,Internal,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,APPROVED
