name,description
Karyawan Rehire Telkom Group,Laporan yang berisi daftar karyawan Rehire pada bulan berjalan di Telkom Group
Riwayat Pelatihan Digital Learning,<p>Riwayat pelatihan pada platform Digital Learning TCU yang pernah diambil karyawan Telkom</p>
HR Current Karyawan Aktif Telkom Group,&lt;p&gt;Laporan yang berisi daftar karyawan aktif (tetap dan sementara) pada bulan berjalan di Telkom Group&lt;/p&gt;
Perusahaan Telkom Group,<p>Daftar perusahaan dalam pengelolaan Telkom Group</p>
Anak Dalam Tanggungan Kesehatan,Laporan berisi data anak dari karyawan dalam tanggungan kesehatan perusahaan.
Riwayat Pelatihan Karyawan,Riwayat pelatihan baik yang diselenggarakan di internal maupun di luar yang pernah diambil karyawan. Data yang masuk di sini bukan termasuk pelatihan yang diambil di platform Digital Learning Telkom.
Keluarga Karyawan,Laporan berisi data keluarga dari karyawan baik anak maupun pasangan.
Daftar Verifikasi dan Autentikasi Infracare,Daftar karyawan dalam kebutuhan verifikasi dan autentikasi service infracare
Tenure Band Posisi,Lama menjabat band posisi karyawan Telkom Group berdasar bulan berjalan
Progress Performansi OKR Produk Digital,Berikut merupakan data progress performansi dari produk digital.
Monitoring Presensi Realtime (Back to Office),Berisi daftar presensi karyawan
