report_name,domain_id,domain_name,assignments_requestor,text_requestor,text_approver,status
Struktur Organisasi dan Formasi Telkom (OM),2nZiEk0oEx,HC Business Partner,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 3, ""domain_id"": ""mtbq3xiq30"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Corporate University""}, {""role_id"": 3, ""domain_id"": ""mtbq3xiq30"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Telkom Corporate University""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Monitoring Presensi Historis (Back to Office),hEz6ToZd47,FU HCM,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Dalformasi Telkom Parent,2nZiEk0oEx,HC Business Partner,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
HR Current Karyawan Aktif Telkom Group,2nZiEk0oEx,HC Business Partner,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Activity Diarium - Detail (Telin Group),hEz6ToZd47,FU HCM,"[{""role_id"": 0, ""domain_id"": ""telkom"", ""role_name"": ""Guest"", ""domain_name"": ""Telkom Indonesia""}, {""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
HR Current Karyawan Aktif Telkom Group,2nZiEk0oEx,HC Business Partner,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}]","Permintaan Akses Data untuk keperluan bahan laporan,Terima kasih.",Silahkan Digunakan,APPROVED
Activity Diarium - Detail,hEz6ToZd47,FU HCM,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Activity Diarium - Persentase Harian,hEz6ToZd47,FU HCM,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Activity Diarium - Persentase Bulanan,hEz6ToZd47,FU HCM,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
Activity Diarium - Status Hari ini,hEz6ToZd47,FU HCM,"[{""role_id"": 3, ""domain_id"": ""2nZiEk0oEx"", ""role_name"": ""Data Consumer"", ""domain_name"": ""HC Business Partner""}, {""role_id"": 3, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Consumer"", ""domain_name"": ""DFU Digital Business""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU HCM""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""FU Human Capital Management""}, {""role_id"": 3, ""domain_id"": ""hEz6ToZd47"", ""role_name"": ""Data Consumer"", ""domain_name"": ""Human Capital""}, {""role_id"": 37, ""domain_id"": ""EyAD0Th1ss"", ""role_name"": ""Data Entry"", ""domain_name"": ""DFU Digital Business""}]",Operasional Unit,Silahkan dipergunakan,APPROVED
